Čtvrtek,22.12.,Šimon,Ubývá
Pátek,23.12.,Vlasta,NOV
Sobota,24.12.,Adam a Eva,Dorůstá
Sobota,24.12.,Štědrý den,Dorůstá
Neděle,25.12.,Boží hod,Dorůstá
Neděle,25.12.,1.svátek vánoční,Dorůstá
Pondělí,26.12.,Štěpán,Dorůstá
Pondělí,26.12.,2.svátek vánoční,Dorůstá
Úterý,27.12.,Žaneta,Dorůstá
Středa,28.12.,Bohumila,Dorůstá
Čtvrtek,29.12.,Judita,Dorůstá
Pátek,30.12.,David,Dorůstá
Sobota,31.12.,Silvestr,Dorůstá
